Abandoned,Terlantar
Absurd,Konyol
Accurate,Tepat
Adorable,Menarik
Afraid,Takut
Agreeable,Serasi
Alive,Hidup
Amazing,Menakjubkan
Ambiguous,Ambigu
Amused,Terhibur
Ancient,Kuno
Angry,Marah
Annoying,Menjengkelkan
Anxious,Gelisah
Arrogant,Sombong
Ashamed,Malu
Awesome,Mengagumkan
Awful,Mengerikan
Authentic,Asli
Awkward,Canggung
Bad,Buruk
Back,Kembali
Bare,Kosong
Basic,Dasar
Beautiful,Indah
Better,Lebih Baik
Best,Terbaik
Big,Besar
Bitter,Pahit
Blank,Kosong
Blind,Buta
Blissful,Penuh Kebahagiaan
Bold,Berani
Boring,Membosankan
Bossy,Suka merintah
Brave,Berani
Brigt,Terang
Broken,Rusak
Bumpy,Bergelombang
Busy,Sibuk
Calm,Tenang
Candid,Jujur
Carefree,Riang
Careful,Cermat
Careless,Ceroboh
Caring,Peduli
Cautious,Waspas
Chilly,Dingin
Chubby,Temben
Clean,Bersih
Clear,Jelas
Cloudy,Berawan
Clueless,Tidak berpengetahuan
Cold,Dingin
Colorful,Warna-warni
Comfortable,Nyaman
Complicated,Rumit
Crazy,Gila
Creamy,Lembut
Curly,Keriting
Dangerous,Berbahaya
Darling,Sayang
Dark,Gelap
Dearest,Yang Tersayang
Deep,Dalam
Defensive,Defensif
Delicious,Lezat
Delightful,Menyenangkan
Descriptive,Deskriptive
Different,Berbeda
Difficult,Sulit
Dirty,Kotor
Disguised,Disamarkan
Dizzy,Pusing
Dramatic,Dramatis
Dry,Kering
Dual,Rangkap
Dull,Kusam
Double,Dua kali lipat
Early,Awal
Easy,Mudah
Easygoing,Mudah bergaul
Edible,Dapat Dimakan
Elastic,Elastis
Empty,Kosong
Emotional,Emosional
Enchanted,Terpesona
Entire,Seluruh
Equal,Sama
Essential,Penting
Euphoric,Euforia
Evergreen,Hijau sepanjang taun
Evil,Jahat
Excellent,Unggul
Exotic,Eksotik
Expensive,Mahal
Expert,Ahli
Ethical,Etis
Elegant,Anggun
Fabulous,Menakjubkan
Fair,Adil
Faint,Lemah
Faithful,Setia
Fake,Gadungan
familiar,Akrab
famous,Terkenal
fancy,Indah
far,Jauh
fast,Cepat
fearless,Tidak Takut
Fine,Baik
Flat,Datar
Fluffy,Halus
Foolish,Bodoh
Formal,Resmi
Free,Bebas
Funny,Lucu
Frizzy,Keriting
General,Umum
Generous,Murah hati
Gentle,Lemah Lembut
Giant,Berukuran Raksasa
Gloomy,Suram
Glossy,Berkilau
Good,Baik
Graceful,Anggun
Grateful,Berterimakasih
Great,Baik
Gross,Kotor
Grumpy,Pemarah
Guilty,Berdosa
Glorious,Mulia
Glamorous,Glamor
Genuine,Asli
Glaring,Menyolok
Glitering,Cemerlang
Grimy,Kotor
Gullible,Mudah tertipu
Hairy,Berbulu
Half,Setengah
Handmade,Buatan tangan
Handsome,Tampan
Happy,Senang
Harmful,Berbahaya
Harmless,Tidak berbahaya
Harsh,Kasar
Hasty,Gegabah
Healthy,Sehat
Hidden,Tersembunyi
Hideous,Mengerikan
High,Tinggi
Hilarious,Riang
Honest,Jujur
Horrible,Mengerikan
Hot,Panas
Hungry,Lapar
Humble,Ramah
Huge,Besar
Icy,Dingin
Ideal,Ideal
Ill,Sakit
Imaginary,Imajiner
Imperfect,Cacat
